HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
zamagliti	vervagen	zamegliti	0	1	0	0	0	0	0	0	0	0
zamagljen	wazig	zamegljen	0	1	0	0	0	0	0	0	0	0
pocrvenjeti, zacrvenjeti se, rumeniti se, zarumeniti se	blozen	zardeti, rde?ica	0	1	0	0	0	0	0	0	0	0
sramežljiv	_	rde?ica	0	0	0	0	0	0	0	0	0	0
boa	_	boa	0	0	0	0	0	0	0	0	0	0
vepar	_	merjasec	0	0	0	0	0	0	0	0	0	0
odbor, vije?e	raad, directie, bestuur	odbor	0	0	0	1	0	0	0	0	0	0
stanar	_	gojenec	0	0	0	0	0	0	0	0	0	0
ukrcaj	_	vkrcanje	0	0	0	0	0	0	0	0	0	0
plo?e	_	deska	0	0	0	0	0	0	0	0	0	0
hvalisati se, razmetati se, praviti se važan	opscheppen	hvaliti, bahanje	1	1	0	0	0	0	0	0	0	0
hvalisav	opscheppen	bahaje	0	1	0	0	0	0	0	0	0	0
?amac	_	?oln	0	0	0	0	0	0	0	0	0	0
vožnja ?amcem	_	?olnarjenje	0	0	0	0	0	0	0	0	0	0
kalem	_	motek	0	0	0	0	0	0	0	0	0	0
slutiti	_	napovedati	0	0	0	0	0	0	0	0	0	0
steznik	_	životec	0	0	0	0	0	0	0	0	0	0
tjelesni	_	telesen	0	0	0	0	0	0	0	0	0	0
tijelo	_	telo	0	0	0	0	0	0	0	0	0	0
tjelohranitelj, tjelesni ?uvar	lijfwacht, bodyguard	telesni stražar	1	0	0	0	0	0	0	0	0	1
mo?vara, kaljuža	moeras	barje	0	1	0	0	0	0	0	0	0	0
lažan	vals	ponarejen	0	1	1	0	1	0	0	0	0	0
kipjeti, vreti, klju?ati	koken	zavreti	0	1	0	0	1	0	0	0	0	0
kotao, bojler	_	kotel	0	0	0	0	0	0	0	0	0	0
obi?an	standaardtekst	obi?ajen	0	1	0	0	0	0	0	0	0	0
klju?anje, vrenje	_	vreti	0	0	0	0	0	0	0	0	0	0
bu?an, naprasit, buran	onstuimig, luidruchtig, rumoerig	vihrav, bu?en, hrupen, živahen	1	1	1	1	0	0	1	0	0	0
odvažan, hrabar	stoutmoedig, gewaagd, gedurft, brutaal	krepko	1	0	0	0	0	0	0	0	0	0
hrabrost	vrijmoedigheid, gewaagdheid, durf, brutaliteit	pogum	1	0	0	0	0	0	0	0	0	0
jastuk, poduprijeti, potaknuti	ondersteunen, steunen, ondersteuning, steun	blazina, krepiti	1	0	0	0	0	0	0	0	0	0
vijak	_	vijak	0	0	0	0	0	0	0	0	0	0
bolus	_	bolus	0	0	0	0	0	0	0	0	0	0
bomba	bom, bombarderen	bomba	0	1	1	0	0	1	0	1	1	0
bombardirati	bombarderen	bombardirati	0	1	1	0	0	1	0	0	0	0
bombardiranje	bombardement	bombardiranje	0	1	1	0	0	1	0	0	0	0
bombardiran	gebombardeerd	bombardiran	0	1	0	0	1	0	0	0	0	0
bombarder	bommenwerper	bombnik	0	0	0	0	0	1	0	1	0	0
izvor bogatstva, zlatni rudnik	bonanza	zlata jama, zlati ?asi	1	0	0	0	0	0	1	0	0	0
veza	_	vez	0	0	0	0	0	0	0	0	0	0
ropstvo	slavernij, gebondenheid	suženjstvo	0	1	0	0	0	1	0	1	0	0
obveznice	obligaties	obveznice, vezi	0	1	0	0	0	0	0	0	0	0
kost	_	kost	0	0	0	0	0	0	0	0	0	0
erekcija	_	erekcija	0	0	0	0	0	0	0	0	0	0
kosti	_	kosti	0	0	0	0	0	0	0	0	0	0
krijes, logorska vatra	_	kres	0	0	0	0	0	0	0	0	0	0
dadilja	bonne	NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
hauba, kapa	_	havba, pokrov	0	0	0	0	0	0	0	0	0	0
bonus, nagrada, doplatak	bonus	bonus, stimulacija	1	0	0	1	0	0	1	0	1	0
koš?at	_	koš?en	0	0	0	0	0	0	0	0	0	0
izviždati	boe	bu, izžvižgati	0	1	0	0	0	0	0	0	0	0
sisa	_	joška	0	0	0	0	0	0	0	0	0	0
glupan	domoor	trapa	0	1	0	0	0	0	0	0	0	0
rezervirati, knjiga	_	knjiga	0	0	0	0	0	0	0	0	0	0
polica za knjige	_	polica	0	0	0	0	0	0	0	0	0	0
rezerviranje, rezervacija	_	rezervacija	0	0	0	0	0	0	0	0	0	0
knjiški	boekachtig	u?enjakarski	1	0	0	0	0	0	0	0	0	0
knjigovo?a	_	knjigovodja	0	0	0	0	0	0	0	0	0	0
knjigovodstvo	_	knjigovodstvo	0	0	0	0	0	0	0	0	0	0
knjižica	_	knjižica	0	0	0	0	0	0	0	0	0	0
knjige	_	knjiga	0	0	0	0	0	0	0	0	0	0
knjižar	_	knjigarnar	0	0	0	0	0	0	0	0	0	0
knjižara	boekenwinkel	knjigarna	1	0	0	0	0	0	0	0	0	0
knjižara	_	knjigarna	0	0	0	0	0	0	0	0	0	0
knjiški moljac	boekenworm	knjižni molj	1	1	0	0	0	0	0	0	0	0
bumerang	boemerang	bumerang	0	0	0	1	0	0	0	0	0	1
cvjetaju?i	_	razcvet	0	0	0	0	0	0	0	0	0	0
blagodat, prednost	zegen	prednost	1	0	0	0	0	0	0	0	0	0
poja?anje, pogurati, pomo?i, podi?i	_	pospešek	0	0	0	0	0	0	0	0	0	0
poja?iva?, pobu?iva?	_	spodbujajo?	0	0	0	0	0	0	0	0	0	0
?izma	_	škorenj	0	0	0	0	0	0	0	0	0	0
štand, govornica, kabina	_	kabina	0	0	0	0	0	0	0	0	0	0
?izme	_	?evelj	0	0	0	0	0	0	0	0	0	0
plijen	_	plen	0	0	0	0	0	0	0	0	0	0
alkoholno pi?e, cuga	drank	alkohol	0	1	0	0	0	0	0	0	0	0
granica, grani?iti	_	meja	0	0	0	0	0	0	0	0	0	0
pograni?no, grani?no	_	mejen	0	0	0	0	0	0	0	0	0	0
dosa?ivati	droogstoppel	utruditi	0	1	0	0	0	0	0	0	0	0
borealni, sjeverni	_	borealen	0	0	0	0	0	0	0	0	0	0
dosada	verveling	dolg?as	0	1	0	0	0	0	0	1	0	0
bušilica	_	?rv	0	0	0	0	0	0	0	0	0	0
dosadan	saai	dolgo?asen	0	1	0	0	0	0	0	0	0	0
okrug	_	okraj	0	0	0	0	0	0	0	0	0	0
posuditi	_	sposoditi	0	0	0	0	0	0	0	0	0	0
zajmoprimac	lener	posojilojemalec, izposojevalec	0	1	0	0	0	0	0	0	0	0
grudi	_	naro?je	0	0	0	0	0	0	0	0	0	0
šef	_	šef	0	0	0	0	0	0	0	0	0	0
Boston	_	Boston	0	0	0	0	0	0	0	0	0	0
botani?ki	_	botani?en	0	0	0	0	0	0	0	0	0	0
botani?ar	_	botanist	0	0	0	0	0	0	0	0	0	0
botanika	_	botanika	0	0	0	0	0	0	0	0	0	0
gnjaviti, dosa?ivati	dwars zitten	skrbeti, gnjaviti, motiti	0	1	0	0	0	0	0	0	0	0
naporan	dwars	motiti	0	1	1	0	0	0	0	1	0	0
boca	_	steklenica	0	0	0	0	0	0	0	0	0	0
dno	bodem	spodaj	0	1	0	0	0	0	0	1	0	0
bez dna	bodemloos	brez dna	0	0	0	0	0	1	0	0	0	0
stijena, gromada	_	balvan	0	0	0	0	0	0	0	0	0	0
odskakivati, odsko?iti	_	odboj	0	0	0	0	0	0	0	0	0	0
vezan	gebonden	vezan	0	1	0	0	0	0	0	0	0	0
granica	_	meja	0	0	0	0	0	0	0	0	0	0
bezgrani?an, neograni?en, beskrajan	_	brezmejen, neskon?en	0	0	0	0	0	0	0	0	0	0
granice	_	meja	0	0	0	0	0	0	0	0	0	0
bogat, obilan	rijkelijk	radodaren	1	0	0	1	0	0	1	0	0	0
nagrada	beloning	nagrada, radodarnost	1	0	0	1	0	0	1	0	0	1
buket	boeket	šopek	1	0	0	0	0	0	1	0	0	1
buržujski	_	buržujski	0	0	0	0	0	0	0	0	0	0
buržoazija, srednja klasa	_	buržoazija, srednji razred	0	0	0	0	0	0	0	0	0	0
burza	_	borza	0	0	0	0	0	0	0	0	0	0
sukob	aanval	napad, spopad	0	1	1	0	0	0	0	0	0	0
gove?i	rund	goveji	0	1	0	0	1	0	0	0	0	0
pognut	_	sklonjen	0	0	0	0	0	0	0	0	0	0
crijeva, utroba	ingewanden	?reva, drobovje	0	0	0	0	1	0	0	0	0	0
zdjela	_	skleda	0	0	0	0	0	0	0	0	0	0
bo?anje	_	krogla	0	0	0	0	0	0	0	0	0	0
kutija	_	škatla	0	0	0	0	0	0	0	0	0	0
bokser, boksa?	_	bokser, boksarice	0	0	0	0	0	0	0	0	0	0
boks	boksen	boks	0	0	1	0	0	0	0	0	0	0
dje?ak	jongen	fant	0	1	0	0	1	0	0	0	0	0
bojkot, bojkotirati	boycot	bojkot	0	1	0	0	0	0	0	0	0	0
djetinjstvo, dje?aštvo	_	otroštvo	0	0	0	0	0	0	0	0	0	0
dje?a?ki	_	deški, fantovski	0	0	0	0	0	0	0	0	0	0
potpora, steznik	_	aparat, podpreti	0	0	0	0	0	0	0	0	0	0
narukvica	_	zapestnica	0	0	0	0	0	0	0	0	0	0
proteza, aparati?	_	naramnice	0	0	0	0	0	0	0	0	0	0
brahijalnog, podlakti?ni, ru?ni	_	brahialen	0	0	0	0	0	0	0	0	0	0
zagrada	_	oklepaj	0	0	0	0	0	0	0	0	0	0
zagrade	_	nosilec	0	0	0	0	0	0	0	0	0	0
slankast	_	slankast	0	0	0	0	0	0	0	0	0	0
?avao	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
hvalisati se	opscheppen	bahati se	0	1	0	0	0	0	0	0	0	0
pletenica, plesti	_	kita	0	0	0	0	0	0	0	0	0	0
mozak	_	možgani	0	0	0	0	0	0	0	0	0	0
mozak	hersenen	možgani	1	0	0	0	0	0	0	0	0	0
zajedno smisliti	_	brainstorm, razmišljati	0	0	0	0	0	0	0	0	0	0
ko?nica, ko?iti	_	zavora, zavirati	0	0	0	0	0	0	0	0	0	0
mekinje	zemelen	otrobi	0	0	0	0	1	0	0	0	0	0
podružnica, grana	_	podružnica	0	0	0	0	0	0	0	0	0	0
grananje	_	razcepiti	0	0	0	0	0	0	0	0	0	0
brendi, vinjak	brandewijn	žganje	0	1	0	0	0	0	0	0	0	0
mjed, mesing, mjeden	_	medenina	0	0	0	0	0	0	0	0	0	0
derište	_	pamž	0	0	0	0	0	0	0	0	0	0
razmetanje hrabroš?u	bravade	juna?enje	0	1	0	0	0	0	0	0	0	0
hrabrost	moed	hrabrost	1	0	0	0	0	0	0	0	0	0
sva?a, tu?njava	ruzie, gevecht	pretep	0	1	1	0	1	1	0	0	0	0
bezobrazan, bestidan, drzak	bronzen	izzivalen	0	1	1	0	0	0	0	0	0	0
kršenje, kršiti, povreda	schending, breuk, schenden, breken	kršitev, kršiti	0	1	0	0	0	0	0	0	0	0
kruh	_	kruh	0	0	0	0	0	0	0	0	0	0
širina	_	širina	0	0	0	0	0	0	0	0	0	0
prekid, slomiti, razbiti	breken	odmor, razbiti	0	0	0	0	0	0	0	0	1	0
loman, lomljiv	_	lomljiv	0	0	0	0	0	0	0	0	0	0
kvar	afbraak, ineenstorting, panne, defect	polom	0	1	0	0	0	0	0	0	0	0
prekida?	_	ki se lomi	0	0	0	0	0	0	0	0	0	0
prekida?i	_	stikalo	0	0	0	0	0	0	0	0	0	0
doru?ak	ontbijt	zajtrk	1	0	0	0	0	0	0	0	0	0
vratoloman	halsbrekend	vratolomen	0	1	0	0	0	0	0	0	0	0
prekid, raspad	breuk, relatiebreuk, scheiding	lo?itev	0	1	0	0	0	0	0	1	0	0
dah	_	sapa	0	0	0	0	0	0	0	0	0	0
zatvara?	_	zaklepiš?e	0	0	0	0	0	0	0	0	0	0
jaha?e hla?e	_	hla?e	0	0	0	0	0	0	0	0	0	0
pasmina, vrsta	_	pasma	0	0	0	0	0	0	0	0	0	0
uzgajatelj	_	rejec	0	0	0	0	0	0	0	0	0	0
rasplod, uzgoj	_	vzreja	0	0	0	0	0	0	0	0	0	0
povjetarac	_	sapica	0	0	0	0	0	0	0	0	0	0
vjetrovit	_	vetroven	0	0	0	0	0	0	0	0	0	0
bra?a	_	bratje	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
kratko?a, sažetost	_	kratkost	0	0	0	0	0	0	0	0	0	0
variti	_	zvarek	0	0	0	0	0	0	0	0	0	0
varenje	_	pivovarstvo	0	0	0	0	0	0	0	0	0	0
mito, podmititi, potkupiti, potplatiti, podmi?ivanje, mititi	steekpenning, smeergeld	podkupovati, podkupnina	0	1	0	0	0	0	0	0	0	0
podmi?ivanje	omkoperij	podkupovanje	0	1	0	0	1	0	0	0	0	0
cigla	_	opeka	0	0	0	0	0	0	0	0	0	0
svadbeni	bruids	poro?en	1	0	0	1	0	0	1	0	0	1
nevjesta, mladenka	bruid	nevesta	1	0	0	1	0	0	1	0	0	1
mladoženja, ženik, mladenac	bruidegom	ženin	1	0	0	1	0	0	1	0	0	1
djeveruša	bruidsmeisje	pri?a	1	0	0	0	0	0	1	0	0	1
most	_	most	0	0	0	0	0	0	0	0	0	0
zauzdati, zauzdati	_	uzda	0	0	0	0	0	0	0	0	0	0
nakratko	_	na kratko	0	0	0	0	0	0	0	0	0	0
zatvor	_	zapor	0	0	0	0	0	0	0	0	0	0
brigada	brigade	brigada	0	1	0	0	0	1	0	0	0	0
razvedriti, ukrasiti	opvrolijken	razjasniti	1	0	0	0	0	0	1	0	1	1
svjetlost, svjetlina	helderheid	svetloba	1	0	0	0	0	0	0	0	0	0
sjajan, odli?an	briljant, geweldig, fantastisch	sijajen	1	0	0	1	0	0	1	0	0	1
obod	_	krajec	0	0	0	0	0	0	0	0	0	0
prepun	_	prekipevati	0	0	0	0	0	0	0	0	0	0
sumpor	zwavel	žveplo	0	1	1	0	0	1	0	0	0	0
rasol, usoliti	_	slanica	0	0	0	0	0	0	0	0	0	0
donijeti	_	prinesti	0	0	0	0	0	0	0	0	0	0
rub	_	prag	0	0	0	0	0	0	0	0	0	0
živahan, brz	_	hiter	0	0	0	0	0	0	0	0	0	0
naljutiti	borstel	jeziti	0	1	0	0	0	0	0	0	0	0
lomljiv	_	rezek	0	0	0	0	0	0	0	0	0	0
emitiranje, emisija, prijenos, odaslati, odašiljati, emitirati	_	prenos, oddaja	0	0	0	0	0	0	0	0	0	0
snažan napad	volle laag	oster napad	0	1	0	1	0	0	0	0	0	0
brokat	brokaat	brokat	1	0	0	0	0	0	0	0	0	0
brošura	_	brošura	0	0	0	0	0	0	0	0	0	0
sva?a	braden	spor, prepir	0	1	1	0	0	0	0	0	0	0
švorc	kapot gegaan, gebroken, arm	brez denarja	0	1	0	0	0	1	0	1	0	0
slomljen	gebroken	zlomljen	0	1	1	0	0	1	0	1	0	0
posrednik, broker	_	posrednik	0	0	0	0	0	0	0	0	0	0
posredništvo	_	posredovanje	0	0	0	0	0	0	0	0	0	0
divlji konj	_	divji konj	0	0	0	0	0	0	0	0	0	0
bron?an	_	bron	0	0	0	0	0	0	0	0	0	0
leglo	_	zarod	0	0	0	0	0	0	0	0	0	0
razmišljaju?i	_	premišljevanje	0	0	0	0	0	0	0	0	0	0
potok	_	potok	0	0	0	0	0	0	0	0	0	0
metla	_	metla	0	0	0	0	0	0	0	0	0	0
juha	_	juha	0	0	0	0	0	0	0	0	0	0
javna ku?a, bordel	bordeel	bordel	0	1	0	0	1	0	0	0	0	0
brat	broer	brat	1	0	0	0	0	0	0	0	0	1
bratstvo	broederschap	bratstvo	1	0	0	0	0	0	0	0	0	1
bratski	broederlijk	bratski	1	0	0	1	0	0	1	0	0	1
obrva	_	obrv, ?elo	0	0	0	0	0	0	0	0	0	0
sme?	_	rjav	0	0	0	0	0	0	0	0	0	0
modrica, masnica	blauwe plek	modrica	0	1	0	1	0	0	0	0	0	0
crnka, brineta, sme?okos	_	rjavolas, temnolas	0	0	0	0	0	0	0	0	0	0
breme	last	breme	0	1	1	0	0	0	0	0	0	0
?etka, kist, ?etkati	_	krta?a	0	0	0	0	0	0	0	0	0	0
brutalan, okrutan	brutaal	brutalen	0	1	1	0	0	1	0	0	0	0
brutalnost, okrutnost	brutaliteit	brutalnost	0	1	1	0	0	1	0	0	0	0
grubijan, divljak	bruut	divjak	0	1	1	0	0	1	0	1	0	0
mjehuri?	_	mehur	0	0	0	0	0	0	0	0	0	0
pjenušav	_	vrenje	0	0	0	0	0	0	0	0	0	0
dolar, kicoš	dollar	dolar, opogumiti	1	1	0	0	0	1	0	0	1	0
kanta	_	vedro	0	0	0	0	0	0	0	0	0	0
kop?a	_	zaponka	0	0	0	0	0	0	0	0	0	0
zavezan, savijen	_	upognjen	0	0	0	0	0	0	0	0	0	0
pupoljak, cvjetati	_	popek, brsteti	0	0	0	0	0	0	0	0	0	0
prijatelj, frend, kompi?, kompa, drugar, drug	makker, maat, kerel	prijatelj, kolega	1	0	0	1	0	0	1	0	0	1
pomaknuti se	_	premikati se, vdati se	0	0	0	0	0	0	0	0	0	0
budžet, prora?un	budget	prora?un	0	0	0	0	0	0	0	0	0	1
bizon	_	bivol	0	0	0	0	0	0	0	0	0	0
pufer, me?uspremnik, odbojnik	_	pufer, odbojnik	0	0	0	0	0	0	0	0	0	0
ošamariti, šupiti	buffet	brebijati, klofutati	0	1	1	0	0	0	0	0	0	0
gnjaviti, ozvu?iti	insect, fout	mr?es, prisluškovati	0	1	0	0	1	1	0	0	0	0
NO TRANSLATION	NO TRANSLATION	NO TRANSLATION	0	1	1	0	0	1	0	1	0	0
zaprega	_	vozi?ek	0	0	0	0	0	0	0	0	0	0
lova?ki rog	bugel	rog	0	0	0	1	0	0	0	0	0	0
izgraditi, gra?a, konfiguracija	bouwen	zgraditi	1	0	0	0	0	0	0	0	0	0
graditelj	_	gradbenik	0	0	0	0	0	0	0	0	0	0
zgrada, gra?evina	gebouw, bouwen	stavba	1	0	0	0	0	0	0	0	0	0
gra?evine, zgrade	_	zgradba	0	0	0	0	0	0	0	0	0	0
žarulja	_	žarnica	0	0	0	0	0	0	0	0	0	0
gomoljast	knolvormig	?ebulast	0	1	0	0	0	0	0	0	0	0
izbo?ina, ispup?enje	_	izboklina	0	0	0	0	0	0	0	0	0	0
glavnina, ve?ina	_	masa	0	0	0	0	0	0	0	0	0	0
pregrada	_	pregrada	0	0	0	0	0	0	0	0	0	0
glomazan	_	obsežen	0	0	0	0	0	0	0	0	0	0
bik	_	bik	0	0	0	0	0	0	0	0	0	0
buldog	bulldog	buldog	1	0	0	0	0	0	0	0	0	0
buldožer	_	buldožer	0	0	0	0	0	0	0	0	0	0
metak	_	krogla	0	0	0	0	0	0	0	0	0	0
bilten	_	bilten	0	0	0	0	0	0	0	0	0	0
neprobojan	kogelvrij	neprebojen	1	0	0	0	0	0	0	0	0	0
vol	_	vol	0	0	0	0	0	0	0	0	0	0
zlostavljati, zlostavlja?, siledžija, nasilnik	bullebak, pestkop, pester	ustahovati, ustrahovalec	0	1	1	0	0	1	0	0	0	0
bedem	_	okop	0	0	0	0	0	0	0	0	0	0
propalica, skitnica	kont, poep	lenuh, ni?vreden	0	1	0	0	1	0	0	1	0	0
šteta	jammer	polom	0	1	1	0	1	0	0	0	0	0
kvrga, izraslina	_	bula, grbina	0	0	0	0	0	0	0	0	0	0
žemlja	_	žemlja	0	0	0	0	0	0	0	0	0	0
hrpa, grupa	_	kup	0	0	0	0	0	0	0	0	0	0
svežanj, paket	_	sveženj	0	0	0	0	0	0	0	0	0	0
bungalov	_	bungalov	0	0	0	0	0	0	0	0	0	0
ležaj, krevet	_	pograd	0	0	0	0	0	0	0	0	0	0
bunker	bunker	bunker	0	0	0	0	0	1	0	0	0	0
udarac	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
podupirati, poduprijeti	boei	podpirati	1	0	0	0	0	0	0	0	0	0
plovnost, potisak, uzgon	_	vzgon	0	0	0	0	0	0	0	0	0	0
?i?ak	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
teret, breme	_	breme	0	0	0	0	0	0	0	0	0	0
tegoban, mu?an	zwaar, belastend	obremenilen, težaven	0	1	0	0	0	1	0	1	0	0
biro, ured	_	biro	0	0	0	0	0	0	0	0	0	0
birokracija	bureaucratie	birokracija	0	1	0	0	0	0	0	0	0	1
birokrat	bureaucraat	birokrat	0	1	0	0	1	0	0	0	0	0
provalnik	inbreker	vlomilec	0	1	0	0	1	1	0	0	0	0
provala	inbraak	vlom	0	1	0	0	0	0	0	0	0	0
pokop, pogreb, sahrana	begrafenis	pokop	0	1	1	0	0	1	0	1	0	0
pokopan	begraven	pokopan	0	1	0	0	0	1	0	1	0	0
ugušiti	onderdrukken	izogniti	0	1	1	0	1	1	0	1	0	0
juta	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
burleska	burleske	burleska	0	0	0	0	0	0	0	0	1	0
krupan	_	zajeten	0	0	0	0	0	0	0	0	0	0
spaliti, paliti, gorjeti	_	goreti	0	0	0	0	0	0	0	0	0	0
plamenik	_	gorilnik	0	0	0	0	0	0	0	0	0	0
spaljivanje, gore?i, goru?i	_	gorenje, gore?	0	0	0	0	0	0	0	0	0	0
poliran, ulašten	_	izluš?en	0	0	0	0	0	0	0	0	0	0
izgaranje	_	izgoren	0	0	0	0	0	0	0	0	0	0
izgorio, izgorio	verbrand	zgorel	0	1	0	0	1	0	0	0	0	0
?i?ak	_	repinec	0	0	0	0	0	0	0	0	0	0
jazbina, ukopati se	_	brlog, kopati	0	0	0	0	0	0	0	0	0	0
stinpendija	studiebeurs, beurs	štipendija	0	0	0	0	0	0	0	0	0	1
pokopati, zakopati	begraven	pokopati	0	0	0	0	0	0	0	1	0	0
autobus, prevoziti autobusom, bus	_	avtobus, trola	0	0	0	0	0	0	0	0	0	0
grm	_	grm	0	0	0	0	0	0	0	0	0	0
bušel	_	mernik	0	0	0	0	0	0	0	0	0	0
grmovit, ?upav	_	košat	0	0	0	0	0	0	0	0	0	0
posao	_	posel	0	0	0	0	0	0	0	0	0	0
poljubac	bus	poljub, poljub?ek	1	0	0	0	0	0	1	0	0	0
poprsje, bista	_	prsi	0	0	0	0	0	0	0	0	0	0
uhva?en, priveden	betrapt	ujet	0	1	1	0	0	1	0	0	0	0
vreva, gužva, metež	_	vrvež	0	0	0	0	0	0	0	0	0	0
užurban	_	živahen	0	0	0	0	0	0	0	0	0	0
zauzet, prometan, zaposlen	_	zaseden	0	0	0	0	0	0	0	0	0	0
butan	_	butan	0	0	0	0	0	0	0	0	0	0
kolja?, krvnik, klati, zaklati, poklati	slager	klavec, klati, moriti	0	1	1	0	1	1	0	0	0	0
batler	butler	služabnik	1	0	0	0	0	0	0	0	0	1
dupe, guzica, rit	kont, poep	rit	0	1	0	0	0	0	0	0	0	0
maslac	_	maslo	0	0	0	0	0	0	0	0	0	0
leptir	_	metulj	0	0	0	0	0	0	0	0	0	0
mastan	boterachtig	maslen	1	0	0	0	0	0	0	0	0	0
stražnjica, guz	_	zadnjica	0	0	0	0	0	0	0	0	0	0
dugme, gumb, tipka	_	gumb	0	0	0	0	0	0	0	0	0	0
poduprijeti, potporanj, podupira?	_	opornik, opora	0	0	0	0	0	0	0	0	0	0
jedar, prsat, sisat	mollig	okrogel	1	0	0	0	0	0	0	0	0	0
kupiti	_	kupiti	0	0	0	0	0	0	0	0	0	0
kupac	_	kupec	0	0	0	0	0	0	0	0	0	0
kupovina	_	nakup	0	0	0	0	0	0	0	0	0	0
zujati, zujanje	gezoem	bren?ati, bren?anje	1	0	0	1	0	1	0	0	0	0
pripit	zoemde	nejasen	0	1	0	0	0	0	0	0	0	0
zvu?ni signal, zvono	_	bren?alo	0	0	0	0	0	0	0	0	0	0
dovi?enja, zdravo, pozdrav	doei	zdravo, adijo	0	0	0	1	0	0	0	0	0	0
prošli	_	preteklost	0	0	0	0	0	0	0	0	0	0
zakon	statut	lokalni predpis	0	0	0	0	0	0	0	0	0	1
promatra?	_	opazovalec	0	0	0	0	0	0	0	0	0	0
bajt	_	bajt	0	0	0	0	0	0	0	0	0	0
taksi	taxi	taksi	1	0	0	0	0	0	0	0	0	0
spletka, smutnja	kliek, groep, club	kabala	0	1	0	0	0	1	0	0	0	0
kupus	_	zelje	0	0	0	0	0	0	0	0	0	0
kabina, koliba, brvnara	_	kabina	0	0	0	0	0	0	0	0	0	0
kabinet	kabinet	kabinet	1	0	0	0	0	0	0	0	0	1
kabel	kabel	kabel	0	0	0	0	0	0	0	0	1	0
kabriolet	_	kabriolet	0	0	0	0	0	0	0	0	0	0
predmemorija, skrovište	_	predpomnilnik, skrivališ?e	0	0	0	0	0	0	0	0	0	0
kakofonija	cacofonie	kakofonija	0	1	1	0	1	0	0	0	0	0
podlac, nitkov, gad	ploert	egoist	0	1	1	0	1	0	0	0	0	0
leš, truplo	kadaver	truplo	0	1	0	0	1	1	0	1	1	0
nosa?	_	nosa?	0	0	0	0	0	0	0	0	0	0
kadenca	_	kadenca	0	0	0	0	0	0	0	0	0	0
kadet	_	kadet	0	0	0	0	0	0	0	0	0	0
kafi?, kavana	cafe	kavarna	1	0	0	0	0	0	0	0	0	0
kavez	kooi	kletka	0	1	0	0	0	0	0	1	0	0
kamenje	_	kamenje	0	0	0	0	0	0	0	0	0	0
torta, kola?	_	torta	0	0	0	0	0	0	0	0	0	0
nesre?a, propast, katastrofa	ramp	nesre?a	0	0	0	0	0	0	0	1	0	0
vapnena?ki	_	apnen?ast	0	0	0	0	0	0	0	0	0	0
izra?unati	_	izra?unati	0	0	0	0	0	0	0	0	0	0
izra?unat	_	izra?unano	0	0	0	0	0	0	0	0	0	0
prora?unat	berekenen	prera?unanje	0	1	0	0	0	0	0	0	0	0
izra?un, kalkulacija	berekening	izra?un	0	0	0	1	0	0	0	0	0	0
kalkulator	rekenmachine	kalkulator, ra?unalo	1	0	0	0	0	0	0	0	0	1
ra?un	_	ra?un	0	0	0	0	0	0	0	0	0	0
kalendar	_	koledar	0	0	0	0	0	0	0	0	0	0
kalendar	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
tele	kalf	tele	1	0	0	0	0	0	1	0	0	1
kalibar	_	kaliber	0	0	0	0	0	0	0	0	0	0
kalibrirati, baždariti	_	kalibrirati	0	0	0	0	0	0	0	0	0	0
platno	_	blago	0	0	0	0	0	0	0	0	0	0
kalibarski šestar	_	kljunasto merilo	0	0	0	0	0	0	0	0	0	0
poziv, zvati, nazvati, pozvati, prizvati	_	klic, klicati	0	0	0	0	0	0	0	0	0	0
kaligrafija, krasopis	_	kaligrafija, pisava	0	0	0	0	0	0	0	0	0	0
zvanje	_	klicanje, klic	0	0	0	0	0	0	0	0	0	0
beš?utan, bezosje?ajan	verhard	trdosr?en, neusmiljen	0	1	1	0	1	0	0	0	0	0
pozivi	calls	poziv	0	1	0	1	0	0	0	0	0	1
smiriti, miran	kalmte	miren	1	0	0	0	0	0	0	0	0	0
smirenost, spokoj	_	mirnost	0	0	0	0	0	0	0	0	0	0
kalori?an	_	kalori?en	0	0	0	0	0	0	0	0	0	0
kalorija	_	kalorija	0	0	0	0	0	0	0	0	0	0
kalorimetar	_	kalorimeter	0	0	0	0	0	0	0	0	0	0
kamera	_	fotoaparat	0	0	0	0	0	0	0	0	0	0
krivina	_	uslo?enost	0	0	0	0	0	0	0	0	0	0
deva	_	kamela	0	0	0	0	0	0	0	0	0	0
kameja, povratna uloga	_	kameja, vloga	0	0	0	0	0	0	0	0	0	0
kamerman, snimatelj	_	snemalec	0	0	0	0	0	0	0	0	0	0
potkošulja	_	majica	0	0	0	0	0	0	0	0	0	0
kamuflaža	camouflage	kamuflaža	0	0	0	0	0	0	0	0	1	0
